"Symbol","Range","Timestamp"
"ASIANHOTNR","5.950000000000003","29-Jan-20"
"ASIANPAINT","22.84999999999991","29-Jan-20"
"ASIANTILES","8.0","29-Jan-20"
"ASPINWALL","11.0","29-Jan-20"
"ASTEC","15.300000000000011","29-Jan-20"
"ASTERDM","6.900000000000006","29-Jan-20"
"ASTRAL","68.95000000000005","29-Jan-20"
"ASTRAMICRO","9.0","29-Jan-20"
"ASTRAZEN","83.69999999999982","29-Jan-20"
"ASTRON","1.1000000000000014","29-Jan-20"
"ATFL","23.5","29-Jan-20"
"ATLANTA","0.2999999999999998","29-Jan-20"
"ATLASCYCLE","2.0","29-Jan-20"
"ATUL","136.30000000000018","29-Jan-20"
"ATULAUTO","13.5","29-Jan-20"
"AUBANK","36.0","29-Jan-20"
"AURIONPRO","2.25","29-Jan-20"
"AUROPHARMA","7.899999999999977","29-Jan-20"
"AUSOMENT","3.5","29-Jan-20"
"AUTOAXLES","19.799999999999955","29-Jan-20"
"AUTOIND","0.6999999999999993","29-Jan-20"
"AUTOLITIND","2.3500000000000014","29-Jan-20"
"AVADHSUGAR","16.350000000000023","29-Jan-20"
"AVANTIFEED","17.799999999999955","29-Jan-20"
"AVG","0.0","29-Jan-20"
"AVROIND","0.0","29-Jan-20"
"AVTNPL","1.75","29-Jan-20"
"AXISBANK","11.950000000000045","29-Jan-20"
"AXISCADES","5.900000000000006","29-Jan-20"
"AXISGOLD","36.65000000000009","29-Jan-20"
"AXISNIFTY","13.589999999999918","29-Jan-20"
"AYMSYNTEX","2.0500000000000043","29-Jan-20"
"BAGFILMS","0.09999999999999987","29-Jan-20"
"BAJAJ-AUTO","39.0","29-Jan-20"
"BAJAJCON","6.0","29-Jan-20"
"BAJAJELEC","11.350000000000023","29-Jan-20"
"BAJAJFINSV","280.0","29-Jan-20"
"BAJAJHIND","0.2999999999999998","29-Jan-20"
"BAJAJHLDNG","168.0","29-Jan-20"
"BAJFINANCE","228.89999999999964","29-Jan-20"
"BALAJITELE","3.299999999999997","29-Jan-20"
"BALAMINES","13.25","29-Jan-20"
"BALAXI","9.099999999999994","29-Jan-20"
"BALKRISHNA","0.5500000000000007","29-Jan-20"
"BALKRISIND","27.200000000000045","29-Jan-20"
"BALLARPUR","0.04999999999999993","29-Jan-20"
"BALMLAWRIE","7.1000000000000085","29-Jan-20"
"BALPHARMA","2.8999999999999986","29-Jan-20"
"BALRAMCHIN","7.400000000000006","29-Jan-20"
"BANARBEADS","1.6499999999999986","29-Jan-20"
"BANARISUG","51.549999999999955","29-Jan-20"
"BANCOINDIA","1.8499999999999943","29-Jan-20"
"BANDHANBNK","20.75","29-Jan-20"
"BANG","1.8000000000000007","29-Jan-20"
"BANKBARODA","0.8500000000000085","29-Jan-20"
"BANKBEES","2.349999999999966","29-Jan-20"
"BANKINDIA","1.0","29-Jan-20"
"BANSWRAS","7.200000000000003","29-Jan-20"
"BARTRONICS","0.0","29-Jan-20"
"BASF","24.850000000000023","29-Jan-20"
"BASML","11.900000000000006","29-Jan-20"
"BATAINDIA","38.0","29-Jan-20"
"BAYERCROP","60.0","29-Jan-20"
"BBL","10.0","29-Jan-20"
"BBTC","33.649999999999864","29-Jan-20"
"BCG","0.40000000000000036","29-Jan-20"
"BCP","1.5","29-Jan-20"
"BDL","14.949999999999989","29-Jan-20"
"BEARDSELL","0.6500000000000004","29-Jan-20"
"BEDMUTHA","0.6999999999999993","29-Jan-20"
"BEL","1.4500000000000028","29-Jan-20"
"BEML","14.799999999999955","29-Jan-20"
"BEPL","2.8500000000000014","29-Jan-20"
"BERGEPAINT","14.100000000000023","29-Jan-20"
"BETA","4.25","29-Jan-20"
"BFINVEST","8.400000000000034","29-Jan-20"
"BFUTILITIE","20.149999999999977","29-Jan-20"
"BGLOBAL","0.0","29-Jan-20"
"BGRENERGY","3.1000000000000014","29-Jan-20"
"BHAGERIA","3.9000000000000057","29-Jan-20"
"BHAGYANGR","1.1499999999999986","29-Jan-20"
"BHAGYAPROP","0.9499999999999993","29-Jan-20"
"BHANDARI","0.10000000000000009","29-Jan-20"
"BHARATFORG","12.900000000000034","29-Jan-20"
"BHARATGEAR","2.6000000000000085","29-Jan-20"
"BHARATRAS","236.0","29-Jan-20"
"BHARATWIRE","1.8499999999999979","29-Jan-20"
"BHARTIARTL","13.149999999999977","29-Jan-20"
"BHEL","1.5","29-Jan-20"
"BIGBLOC","0.25","29-Jan-20"
"BIL","10.450000000000017","29-Jan-20"
"BILENERGY","0.04999999999999993","29-Jan-20"
"BINDALAGRO","1.3499999999999996","29-Jan-20"
"BIOCON","14.899999999999977","29-Jan-20"
"BIOFILCHEM","0.8499999999999996","29-Jan-20"
"BIRLACABLE","1.6000000000000014","29-Jan-20"
"BIRLACORPN","42.0","29-Jan-20"
"BIRLAMONEY","0.9000000000000057","29-Jan-20"
"BKMINDST","0.050000000000000044","29-Jan-20"
"BLBLIMITED","0.39999999999999947","29-Jan-20"
"BLISSGVS","2.3499999999999943","29-Jan-20"
"BLKASHYAP","0.34999999999999964","29-Jan-20"
"BLS","2.200000000000003","29-Jan-20"
